S00014,Priya,31,31.00,F
S00020,Alice,62,62.00,C
S00021,Liya,34,34.00,F
S00024,Grace,48,48.00,D
S00025,Liya,44,44.00,D
S00029,Diana,96,96.00,A
S00032,Priya,56,56.00,D
S00036,Liya,94,94.00,A
S00037,Charlie,49,49.00,D
S00038,Qadir,43,43.00,D
S00039,Henry,85,85.00,B
S00041,Nisha,59,59.00,D
S00052,Karan,86,86.00,B
S00053,Ivy,44,44.00,D
S00057,Grace,66,66.00,C
S00059,Charlie,44,44.00,D
S00064,Alice,43,43.00,D
S00075,Alice,50,50.00,D
S00078,Qadir,35,35.00,F
S00081,Karan,59,59.00,D
S00084,Charlie,32,32.00,F
S00086,Alice,58,58.00,D
S00088,Charlie,71,71.00,C
S00092,Qadir,82,82.00,B
S00093,Eva,68,68.00,C
S00095,Frank,39,39.00,F
S00096,Manoj,82,82.00,B
S00102,Diana,86,86.00,B
S00105,Alice,51,51.00,D
S00114,Charlie,66,66.00,C
S00117,Priya,57,57.00,D
S00127,Eva,30,30.00,F
S00131,Liya,81,81.00,B
S00134,Eva,97,97.00,A
S00135,Diana,46,46.00,D
S00143,Frank,61,61.00,C
S00144,Qadir,68,68.00,C
S00148,Jack,30,30.00,F
S00150,Om,47,47.00,D
S00154,Frank,57,57.00,D
S00155,Karan,41,41.00,D
S00162,Karan,99,99.00,A
S00164,Diana,50,50.00,D
S00170,Grace,87,87.00,B
S00173,Jack,76,76.00,B
S00175,Diana,30,30.00,F
S00177,Riya,64,64.00,C
S00178,Alice,54,54.00,D
S00188,Manoj,67,67.00,C
S00189,Henry,99,99.00,A
S00191,Manoj,79,79.00,B
S00192,Henry,82,82.00,B
S00193,Liya,35,35.00,F
S00195,Karan,51,51.00,D
S00203,Karan,31,31.00,F
S00216,Liya,50,50.00,D
S00222,Tara,87,87.00,B
S00224,Om,56,56.00,D
S00229,Manoj,78,78.00,B
S00230,Liya,74,74.00,C
S00237,Grace,56,56.00,D
S00239,Charlie,49,49.00,D
S00243,Riya,83,83.00,B
S00249,Diana,96,96.00,A
S00250,Qadir,71,71.00,C
S00254,Jack,67,67.00,C
S00255,Eva,46,46.00,D
S00259,Henry,54,54.00,D
S00260,Charlie,73,73.00,C
S00262,Henry,96,96.00,A
S00266,Alice,59,59.00,D
S00275,Frank,97,97.00,A
S00279,Frank,63,63.00,C
S00291,Henry,90,90.00,A
S00294,Nisha,77,77.00,B
S00301,Sanjay,56,56.00,D
S00307,Eva,30,30.00,F
S00313,Bob,56,56.00,D
S00315,Liya,42,42.00,D
S00317,Riya,56,56.00,D
S00331,Manoj,95,95.00,A
S00332,Tara,73,73.00,C
S00343,Henry,72,72.00,C
S00346,Riya,67,67.00,C
S00351,Liya,49,49.00,D
S00352,Charlie,93,93.00,A
S00353,Bob,88,88.00,B
S00359,Diana,57,57.00,D
S00361,Henry,69,69.00,C
S00363,Charlie,95,95.00,A
S00371,Qadir,74,74.00,C
S00376,Henry,75,75.00,B
S00379,Nisha,92,92.00,A
S00381,Frank,89,89.00,B
S00382,Riya,67,67.00,C
S00390,Eva,93,93.00,A
S00393,Jack,49,49.00,D
S00405,Bob,40,40.00,D
S00413,Grace,66,66.00,C
S00415,Sanjay,40,40.00,D
S00417,Ivy,41,41.00,D
S00432,Diana,84,84.00,B
S00434,Karan,76,76.00,B
S00435,Ivy,87,87.00,B
S00437,Frank,98,98.00,A
S00441,Karan,97,97.00,A
S00445,Bob,85,85.00,B
S00446,Alice,63,63.00,C
S00447,Priya,55,55.00,D
S00451,Sanjay,90,90.00,A
S00453,Tara,92,92.00,A
S00456,Bob,46,46.00,D
S00459,Frank,61,61.00,C
S00461,Diana,64,64.00,C
S00471,Alice,62,62.00,C
S00488,Om,60,60.00,C
S00497,Tara,93,93.00,A
S00500,Nisha,99,99.00,A
S00501,Ivy,77,77.00,B
S00505,Tara,62,62.00,C
S00506,Diana,44,44.00,D
S00511,Manoj,35,35.00,F
S00516,Henry,37,37.00,F
S00519,Nisha,38,38.00,F
S00520,Priya,86,86.00,B
S00522,Qadir,67,67.00,C
S00526,Manoj,88,88.00,B
S00529,Frank,95,95.00,A
S00530,Alice,83,83.00,B
